id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1129158,2023-10-27,000001,Vente,580000,93,,BD LOUIS PICON,4665,83200,83137,Toulon,83,,,83137000CX0245,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,205,5.914466,43.130321
2023-1129158,2023-10-27,000001,Vente,580000,93,,BD LOUIS PICON,4665,83200,83137,Toulon,83,,,83137000CX0245,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,205,5.914466,43.130321
2023-1129162,2023-09-22,000001,Vente,5100000,,,,,,83137,Toulon,83,,,83137000AY0073,,2,,,,,,,,,,,0,,,,,,,,,,5.973221,43.125461
2023-1129162,2023-09-22,000001,Vente,5100000,,,,,,83137,Toulon,83,,,83137000AY0073,,3,,,,,,,,,,,0,,,,,,,,,,5.973221,43.125461
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.928096,43.126023
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.928096,43.126023
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.928096,43.126023
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.928096,43.126023
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,16,,28,,,,,,,,2,2,Appartement,76,4,,,,,,5.928096,43.126023
2023-1129164,2023-10-25,000001,Vente,293000,173,,BD MARECHAL LECLERC,3280,83000,83137,Toulon,83,,,83137000CO0200,,,16,,28,,,,,,,,2,3,Dépendance,,0,,,,,,5.928096,43.126023
